EREIGNISJAHR_N;Bezirk;GESCHLECHT_CD_T;alt7;anzTF
2010;101;F;7;1
2010;101;F;8;2
2010;101;F;9;3
2010;101;F;10;4
2010;101;F;11;2
2010;101;F;12;2
2010;101;F;13;3
2010;101;F;14;5
2010;101;F;15;10
2010;101;F;16;16
2010;101;F;17;16
2010;101;F;18;34
2010;101;F;19;19
2010;101;F;20;16
2010;101;M;1;1
2010;101;M;5;1
2010;101;M;6;1
2010;101;M;7;1
2010;101;M;8;3
2010;101;M;10;4
2010;101;M;11;7
2010;101;M;12;4
2010;101;M;13;9
2010;101;M;14;15
2010;101;M;15;9
2010;101;M;16;18
2010;101;M;17;23
2010;101;M;18;12
2010;101;M;19;9
2010;101;M;20;5
2010;102;F;5;1
2010;102;F;6;1
2010;102;F;7;1
2010;102;F;10;1
2010;102;F;11;6
2010;102;F;12;2
2010;102;F;13;6
2010;102;F;14;7
2010;102;F;15;2
2010;102;F;16;8
2010;102;F;17;20
2010;102;F;18;26
2010;102;F;19;28
2010;102;F;20;4
2010;102;M;6;1
2010;102;M;7;1
2010;102;M;8;1
2010;102;M;10;1
2010;102;M;11;4
2010;102;M;12;2
2010;102;M;13;4
2010;102;M;14;5
2010;102;M;15;9
2010;102;M;16;16
2010;102;M;17;22
2010;102;M;18;17
2010;102;M;19;10
2010;102;M;20;2
2010;103;F;1;4
2010;103;F;3;1
2010;103;F;4;2
2010;103;F;5;1
2010;103;F;7;2
2010;103;F;8;2
2010;103;F;10;7
2010;103;F;11;5
2010;103;F;12;8
2010;103;F;13;15
2010;103;F;14;25
2010;103;F;15;24
2010;103;F;16;42
2010;103;F;17;68
2010;103;F;18;90
2010;103;F;19;47
2010;103;F;20;20
2010;103;M;1;3
2010;103;M;4;5
2010;103;M;5;4
2010;103;M;6;3
2010;103;M;7;2
2010;103;M;8;3
2010;103;M;9;9
2010;103;M;10;8
2010;103;M;11;18
2010;103;M;12;25
2010;103;M;13;32
2010;103;M;14;46
2010;103;M;15;34
2010;103;M;16;63
2010;103;M;17;103
2010;103;M;18;58
2010;103;M;19;40
2010;103;M;20;13
2010;104;F;1;2
2010;104;F;2;1
2010;104;F;8;1
2010;104;F;9;1
2010;104;F;10;4
2010;104;F;11;6
2010;104;F;12;6
2010;104;F;13;7
2010;104;F;14;12
2010;104;F;15;21
2010;104;F;16;20
2010;104;F;17;36
2010;104;F;18;33
2010;104;F;19;26
2010;104;F;20;16
2010;104;M;1;1
2010;104;M;3;1
2010;104;M;5;1
2010;104;M;6;3
2010;104;M;7;1
2010;104;M;9;1
2010;104;M;10;7
2010;104;M;11;10
2010;104;M;12;8
2010;104;M;13;18
2010;104;M;14;18
2010;104;M;15;28
2010;104;M;16;25
2010;104;M;17;33
2010;104;M;18;24
2010;104;M;19;10
2010;104;M;20;5
2010;105;F;1;2
2010;105;F;3;1
2010;105;F;5;1
2010;105;F;6;1
2010;105;F;7;2
2010;105;F;8;3
2010;105;F;9;3
2010;105;F;10;6
2010;105;F;11;4
2010;105;F;12;7
2010;105;F;13;7
2010;105;F;14;9
2010;105;F;15;21
2010;105;F;16;40
2010;105;F;17;51
2010;105;F;18;67
2010;105;F;19;49
2010;105;F;20;23
2010;105;M;1;5
2010;105;M;4;1
2010;105;M;6;3
2010;105;M;8;2
2010;105;M;9;3
2010;105;M;10;7
2010;105;M;11;7
2010;105;M;12;13
2010;105;M;13;19
2010;105;M;14;28
2010;105;M;15;32
2010;105;M;16;33
2010;105;M;17;44
2010;105;M;18;31
2010;105;M;19;21
2010;105;M;20;11
2010;106;F;1;4
2010;106;F;4;2
2010;106;F;5;1
2010;106;F;6;1
2010;106;F;8;3
2010;106;F;9;3
2010;106;F;10;10
2010;106;F;11;7
2010;106;F;12;11
2010;106;F;13;22
2010;106;F;14;27
2010;106;F;15;24
2010;106;F;16;58
2010;106;F;17;71
2010;106;F;18;105
2010;106;F;19;75
2010;106;F;20;40
2010;106;M;1;2
2010;106;M;6;3
2010;106;M;7;1
2010;106;M;8;4
2010;106;M;9;4
2010;106;M;10;7
2010;106;M;11;11
2010;106;M;12;14
2010;106;M;13;28
2010;106;M;14;46
2010;106;M;15;45
2010;106;M;16;68
2010;106;M;17;75
2010;106;M;18;72
2010;106;M;19;37
2010;106;M;20;21
2010;107;F;4;1
2010;107;F;9;2
2010;107;F;10;4
2010;107;F;11;10
2010;107;F;12;20
2010;107;F;13;13
2010;107;F;14;25
2010;107;F;15;25
2010;107;F;16;37
2010;107;F;17;74
2010;107;F;18;99
2010;107;F;19;91
2010;107;F;20;47
2010;107;M;1;4
2010;107;M;4;3
2010;107;M;5;1
2010;107;M;6;1
2010;107;M;7;2
2010;107;M;8;3
2010;107;M;9;3
2010;107;M;10;5
2010;107;M;11;5
2010;107;M;12;12
2010;107;M;13;18
2010;107;M;14;27
2010;107;M;15;42
2010;107;M;16;52
2010;107;M;17;76
2010;107;M;18;70
2010;107;M;19;55
2010;107;M;20;13
2010;108;F;1;1
2010;108;F;4;1
2010;108;F;5;1
2010;108;F;6;1
2010;108;F;7;1
2010;108;F;8;1
2010;108;F;9;2
2010;108;F;10;2
2010;108;F;11;5
2010;108;F;12;8
2010;108;F;13;9
2010;108;F;14;12
2010;108;F;15;16
2010;108;F;16;18
2010;108;F;17;43
2010;108;F;18;41
2010;108;F;19;26
2010;108;F;20;10
2010;108;M;1;1
2010;108;M;5;1
2010;108;M;6;1
2010;108;M;7;1
2010;108;M;8;3
2010;108;M;9;2
2010;108;M;10;5
2010;108;M;11;3
2010;108;M;12;6
2010;108;M;13;8
2010;108;M;14;13
2010;108;M;15;20
2010;108;M;16;25
2010;108;M;17;25
2010;108;M;18;30
2010;108;M;19;19
2010;108;M;20;3
2010;109;F;8;1
2010;109;F;9;3
2010;109;F;10;6
2010;109;F;11;10
2010;109;F;12;9
2010;109;F;13;18
2010;109;F;14;22
2010;109;F;15;21
2010;109;F;16;34
2010;109;F;17;59
2010;109;F;18;52
2010;109;F;19;55
2010;109;F;20;19
2010;109;M;1;1
2010;109;M;4;1
2010;109;M;6;1
2010;109;M;7;3
2010;109;M;8;1
2010;109;M;9;8
2010;109;M;10;8
2010;109;M;11;13
2010;109;M;12;19
2010;109;M;13;27
2010;109;M;14;29
2010;109;M;15;38
2010;109;M;16;49
2010;109;M;17;51
2010;109;M;18;46
2010;109;M;19;31
2010;109;M;20;11
2010;110;F;1;3
2010;110;F;4;1
2010;110;F;5;2
2010;110;F;6;2
2010;110;F;7;1
2010;110;F;8;2
2010;110;F;9;5
2010;110;F;10;12
2010;110;F;11;6
2010;110;F;12;15
2010;110;F;13;21
2010;110;F;14;35
2010;110;F;15;32
2010;110;F;16;56
2010;110;F;17;109
2010;110;F;18;126
2010;110;F;19;105
2010;110;F;20;57
2010;110;M;1;5
2010;110;M;4;2
2010;110;M;5;1
2010;110;M;6;1
2010;110;M;7;4
2010;110;M;8;2
2010;110;M;9;12
2010;110;M;10;13
2010;110;M;11;16
2010;110;M;12;27
2010;110;M;13;30
2010;110;M;14;43
2010;110;M;15;42
2010;110;M;16;86
2010;110;M;17;106
2010;110;M;18;110
2010;110;M;19;53
2010;110;M;20;22
2010;111;F;1;5
2010;111;F;2;1
2010;111;F;7;2
2010;111;F;8;3
2010;111;F;11;4
2010;111;F;12;9
2010;111;F;13;12
2010;111;F;14;15
2010;111;F;15;24
2010;111;F;16;36
2010;111;F;17;49
2010;111;F;18;50
2010;111;F;19;45
2010;111;F;20;23
2010;111;M;1;2
2010;111;M;3;2
2010;111;M;4;1
2010;111;M;5;1
2010;111;M;6;2
2010;111;M;9;9
2010;111;M;10;10
2010;111;M;11;8
2010;111;M;12;15
2010;111;M;13;19
2010;111;M;14;27
2010;111;M;15;25
2010;111;M;16;44
2010;111;M;17;52
2010;111;M;18;43
2010;111;M;19;23
2010;111;M;20;7
2010;112;F;1;12
2010;112;F;4;1
2010;112;F;5;3
2010;112;F;6;6
2010;112;F;7;2
2010;112;F;8;11
2010;112;F;9;17
2010;112;F;10;11
2010;112;F;11;29
2010;112;F;12;40
2010;112;F;13;67
2010;112;F;14;74
2010;112;F;15;110
2010;112;F;16;161
2010;112;F;17;343
2010;112;F;18;451
2010;112;F;19;343
2010;112;F;20;273
2010;112;M;1;17
2010;112;M;2;1
2010;112;M;4;2
2010;112;M;5;1
2010;112;M;6;6
2010;112;M;7;6
2010;112;M;8;12
2010;112;M;9;26
2010;112;M;10;33
2010;112;M;11;52
2010;112;M;12;52
2010;112;M;13;92
2010;112;M;14;103
2010;112;M;15;130
2010;112;M;16;212
2010;112;M;17;273
2010;112;M;18;274
2010;112;M;19;156
2010;112;M;20;72
2010;241;F;1;1
2010;241;F;6;3
2010;241;F;7;1
2010;241;F;9;2
2010;241;F;10;3
2010;241;F;11;3
2010;241;F;12;7
2010;241;F;13;6
2010;241;F;14;8
2010;241;F;15;27
2010;241;F;16;31
2010;241;F;17;49
2010;241;F;18;69
2010;241;F;19;50
2010;241;F;20;25
2010;241;M;5;1
2010;241;M;6;1
2010;241;M;8;3
2010;241;M;9;4
2010;241;M;10;2
2010;241;M;11;8
2010;241;M;12;14
2010;241;M;13;13
2010;241;M;14;19
2010;241;M;15;27
2010;241;M;16;33
2010;241;M;17;47
2010;241;M;18;51
2010;241;M;19;25
2010;241;M;20;10
2010;242;F;1;2
2010;242;F;7;2
2010;242;F;8;2
2010;242;F;9;2
2010;242;F;10;7
2010;242;F;11;8
2010;242;F;12;11
2010;242;F;13;15
2010;242;F;14;25
2010;242;F;15;27
2010;242;F;16;43
2010;242;F;17;86
2010;242;F;18;105
2010;242;F;19;89
2010;242;F;20;44
2010;242;M;1;4
2010;242;M;5;1
2010;242;M;6;4
2010;242;M;7;2
2010;242;M;8;3
2010;242;M;9;3
2010;242;M;10;11
2010;242;M;11;10
2010;242;M;12;20
2010;242;M;13;23
2010;242;M;14;41
2010;242;M;15;56
2010;242;M;16;68
2010;242;M;17;80
2010;242;M;18;85
2010;242;M;19;42
2010;242;M;20;14
2010;243;F;1;2
2010;243;F;2;1
2010;243;F;4;1
2010;243;F;6;1
2010;243;F;7;1
2010;243;F;9;3
2010;243;F;10;2
2010;243;F;11;8
2010;243;F;12;5
2010;243;F;13;6
2010;243;F;14;11
2010;243;F;15;10
2010;243;F;16;27
2010;243;F;17;44
2010;243;F;18;72
2010;243;F;19;49
2010;243;F;20;23
2010;243;M;1;2
2010;243;M;4;1
2010;243;M;5;1
2010;243;M;6;2
2010;243;M;7;2
2010;243;M;8;3
2010;243;M;9;4
2010;243;M;10;7
2010;243;M;11;3
2010;243;M;12;12
2010;243;M;13;16
2010;243;M;14;22
2010;243;M;15;26
2010;243;M;16;43
2010;243;M;17;39
2010;243;M;18;51
2010;243;M;19;16
2010;243;M;20;12
2010;244;F;1;3
2010;244;F;4;1
2010;244;F;5;1
2010;244;F;8;3
2010;244;F;10;3
2010;244;F;11;5
2010;244;F;12;10
2010;244;F;13;10
2010;244;F;14;6
2010;244;F;15;19
2010;244;F;16;35
2010;244;F;17;61
2010;244;F;18;86
2010;244;F;19;69
2010;244;F;20;42
2010;244;M;1;2
2010;244;M;5;3
2010;244;M;7;3
2010;244;M;8;1
2010;244;M;9;5
2010;244;M;10;6
2010;244;M;11;6
2010;244;M;12;13
2010;244;M;13;17
2010;244;M;14;23
2010;244;M;15;27
2010;244;M;16;44
2010;244;M;17;70
2010;244;M;18;64
2010;244;M;19;36
2010;244;M;20;19
2010;245;F;1;2
2010;245;F;2;1
2010;245;F;4;2
2010;245;F;7;1
2010;245;F;8;1
2010;245;F;9;1
2010;245;F;10;6
2010;245;F;11;3
2010;245;F;12;11
2010;245;F;13;16
2010;245;F;14;12
2010;245;F;15;24
2010;245;F;16;38
2010;245;F;17;73
2010;245;F;18;128
2010;245;F;19;77
2010;245;F;20;43
2010;245;M;1;2
2010;245;M;2;1
2010;245;M;4;1
2010;245;M;5;1
2010;245;M;6;1
2010;245;M;7;1
2010;245;M;8;1
2010;245;M;9;6
2010;245;M;10;6
2010;245;M;11;8
2010;245;M;12;13
2010;245;M;13;21
2010;245;M;14;36
2010;245;M;15;33
2010;245;M;16;57
2010;245;M;17;82
2010;245;M;18;66
2010;245;M;19;39
2010;245;M;20;12
2010;246;F;1;7
2010;246;F;2;2
2010;246;F;5;2
2010;246;F;6;1
2010;246;F;7;3
2010;246;F;8;6
2010;246;F;9;15
2010;246;F;10;16
2010;246;F;11;21
2010;246;F;12;37
2010;246;F;13;65
2010;246;F;14;66
2010;246;F;15;99
2010;246;F;16;174
2010;246;F;17;314
2010;246;F;18;460
2010;246;F;19;361
2010;246;F;20;214
2010;246;M;1;8
2010;246;M;2;1
2010;246;M;3;1
2010;246;M;4;4
2010;246;M;5;5
2010;246;M;6;10
2010;246;M;7;9
2010;246;M;8;6
2010;246;M;9;21
2010;246;M;10;30
2010;246;M;11;46
2010;246;M;12;54
2010;246;M;13;105
2010;246;M;14;144
