EREIGNISJAHR_N;Bezirk;1_F;1_M;2_F;2_M;3_F;3_M;4_F;4_M;5_F;5_M;6_F;6_M;7_F;7_M;8_F;8_M;9_F;9_M;10_F;10_M;11_F;11_M;12_F;12_M;13_F;13_M;14_F;14_M;15_F;15_M;16_F;16_M;17_F;17_M;18_F;18_M;19_F;19_M;20_F;20_M
2010;101;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;1;2;3;3;NA;4;4;2;7;2;4;3;9;5;15;10;9;16;18;16;23;34;12;19;9;16;5
2010;102;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;1;1;NA;1;NA;NA;1;1;6;4;2;2;6;4;7;5;2;9;8;16;20;22;26;17;28;10;4;2
2010;103;4;3;NA;NA;1;NA;2;5;1;4;NA;3;2;2;2;3;NA;9;7;8;5;18;8;25;15;32;25;46;24;34;42;63;68;103;90;58;47;40;20;13
2010;104;2;1;1;NA;NA;1;NA;NA;NA;1;NA;3;NA;1;1;NA;1;1;4;7;6;10;6;8;7;18;12;18;21;28;20;25;36;33;33;24;26;10;16;5
2010;105;2;5;NA;NA;1;NA;NA;1;1;NA;1;3;2;NA;3;2;3;3;6;7;4;7;7;13;7;19;9;28;21;32;40;33;51;44;67;31;49;21;23;11
2010;106;4;2;NA;NA;NA;NA;2;NA;1;NA;1;3;NA;1;3;4;3;4;10;7;7;11;11;14;22;28;27;46;24;45;58;68;71;75;105;72;75;37;40;21
2010;107;NA;4;NA;NA;NA;NA;1;3;NA;1;NA;1;NA;2;NA;3;2;3;4;5;10;5;20;12;13;18;25;27;25;42;37;52;74;76;99;70;91;55;47;13
2010;108;1;1;NA;NA;NA;NA;1;NA;1;1;1;1;1;1;1;3;2;2;2;5;5;3;8;6;9;8;12;13;16;20;18;25;43;25;41;30;26;19;10;3
2010;109;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;3;1;1;3;8;6;8;10;13;9;19;18;27;22;29;21;38;34;49;59;51;52;46;55;31;19;11
2010;110;3;5;NA;NA;NA;NA;1;2;2;1;2;1;1;4;2;2;5;12;12;13;6;16;15;27;21;30;35;43;32;42;56;86;109;106;126;110;105;53;57;22
2010;111;5;2;1;NA;NA;2;NA;1;NA;1;NA;2;2;NA;3;NA;NA;9;NA;10;4;8;9;15;12;19;15;27;24;25;36;44;49;52;50;43;45;23;23;7
2010;112;12;17;NA;1;NA;NA;1;2;3;1;6;6;2;6;11;12;17;26;11;33;29;52;40;52;67;92;74;103;110;130;161;212;343;273;451;274;343;156;273;72
2010;241;1;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;NA;NA;3;2;4;3;2;3;8;7;14;6;13;8;19;27;27;31;33;49;47;69;51;50;25;25;10
2010;242;2;4;NA;NA;NA;NA;NA;NA;NA;1;NA;4;2;2;2;3;2;3;7;11;8;10;11;20;15;23;25;41;27;56;43;68;86;80;105;85;89;42;44;14
2010;243;2;2;1;NA;NA;NA;1;1;NA;1;1;2;1;2;NA;3;3;4;2;7;8;3;5;12;6;16;11;22;10;26;27;43;44;39;72;51;49;16;23;12
2010;244;3;2;NA;NA;NA;NA;1;NA;1;3;NA;NA;NA;3;3;1;NA;5;3;6;5;6;10;13;10;17;6;23;19;27;35;44;61;70;86;64;69;36;42;19
2010;245;2;2;1;1;NA;NA;2;1;NA;1;NA;1;1;1;1;1;1;6;6;6;3;8;11;13;16;21;12;36;24;33;38;57;73;82;128;66;77;39;43;12
2010;246;7;8;2;1;NA;1;NA;4;2;5;1;10;3;9;6;6;15;21;16;30;21;46;37;54;65;105;66;144;99;138;174;210;314;290;460;287;361;183;214;66
2010;247;2;2;NA;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;1;4;5;6;2;10;9;11;7;18;13;37;23;39;29;47;49;62;89;77;126;82;103;53;53;23
